         455364325 function calls (455357937 primitive calls) in 1357.263 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1021998    2.135    0.000    4.255    0.000 numerictypes.py:962(find_common_type)
  7431529    2.027    0.000    2.027    0.000 {method 'get' of 'dict' objects}
  1299699    1.973    0.000    3.171    0.000 linalg.py:208(_assertNdSquareness)
  2043996    1.967    0.000    1.967    0.000 {built-in method numpy.core.umath.seterrobj}
  5581416    1.962    0.000    1.962    0.000 {built-in method builtins.min}
  2042955    1.957    0.000    3.267    0.000 {built-in method builtins.any}
  2039958    1.909    0.000    1.909    0.000 {method 'flatten' of 'numpy.ndarray' objects}
  1220778    1.869    0.000    1.869    0.000 {built-in method numpy.core.multiarray.where}
  3339868    1.799    0.000    1.799    0.000 {built-in method builtins.max}
  3059937    1.734    0.000    1.734    0.000 numeric.py:1577(<listcomp>)
  1019979    1.720    0.000   12.762    0.000 fromnumeric.py:1364(trace)
  1019979    1.714    0.000    2.150    0.000 linalg.py:167(_to_native_byte_order)
  3059937    1.670    0.000    1.670    0.000 {method 'insert' of 'list' objects}
  4861434    1.644    0.000    1.644    0.000 shape_base.py:925(<genexpr>)
  4361634    1.637    0.000    2.680    0.000 linalg.py:123(_realType)
  4187992    1.610    0.000   21.952    0.000 _methods.py:40(_all)
  1921179    1.601    0.000   32.449    0.000 fromnumeric.py:50(_wrapfunc)
  3240956    1.544    0.000    1.544    0.000 shape_base.py:915(<genexpr>)
  1022976    1.508    0.000    1.508    0.000 {method 'copy' of 'numpy.ndarray' objects}
  2042955    1.443    0.000   30.741    0.000 stride_tricks.py:135(broadcast_to)
  1119879    1.435    0.000   29.920    0.000 fromnumeric.py:851(argsort)
  1021998    1.360    0.000    6.446    0.000 numeric.py:2862(__exit__)
  2042955    1.332    0.000    2.138    0.000 function_base.py:213(iterable)
  5105889    1.310    0.000    1.310    0.000 stride_tricks.py:120(<genexpr>)
   599400    1.304    0.000    4.661    0.000 fromnumeric.py:2222(amax)
  2042955    1.273    0.000    1.273    0.000 stride_tricks.py:25(_maybe_view_as_subclass)
  1021998    1.255    0.000    8.439    0.000 numeric.py:2857(__enter__)
  1021998    1.249    0.000    1.618    0.000 numeric.py:2853(__init__)
  3061956    1.240    0.000   15.521    0.000 _methods.py:37(_any)
  1121979    1.158    0.000    7.903    0.000 numeric.py:146(ones)
  4087992    1.158    0.000    1.158    0.000 {built-in method numpy.core.umath.geterrobj}
  2043996    1.075    0.000    1.361    0.000 numerictypes.py:939(_can_coerce_all)
  1019979    1.037    0.000    1.037    0.000 {method 'swapaxes' of 'numpy.ndarray' objects}
  2039958    1.007    0.000    1.007    0.000 {method 'ravel' of 'numpy.ndarray' objects}
  1021998    0.991    0.000   24.435    0.000 lapack.py:520(get_lapack_funcs)
  1206792    0.982    0.000    1.963    0.000 numerictypes.py:631(issubclass_)
   603396    0.941    0.000    3.002    0.000 numerictypes.py:699(issubdtype)
  1300698    0.932    0.000    0.932    0.000 linalg.py:197(_assertRankAtLeast2)
  6119874    0.905    0.000    0.905    0.000 {built-in method _operator.index}
  3059937    0.884    0.000    0.884    0.000 {method 'item' of 'numpy.ndarray' objects}
   701298    0.874    0.000    0.874    0.000 linalg.py:100(get_linalg_error_extobj)
  1021998    0.846    0.000    0.846    0.000 getlimits.py:532(max)
   599500    0.808    0.000    4.117    0.000 fromnumeric.py:2101(cumsum)
  2043800    0.806    0.000    0.806    0.000 {built-in method builtins.iter}
  1325676    0.792    0.000    0.792    0.000 {method 'squeeze' of 'numpy.ndarray' objects}
  1020978    0.792    0.000    1.400    0.000 linalg.py:222(_assertNoEmpty2d)
  1620478    0.791    0.000    1.537    0.000 {built-in method builtins.all}
  1019979    0.765    0.000    0.765    0.000 linalg.py:191(_assertRank2)
  4714971    0.753    0.000    0.753    0.000 {method 'append' of 'list' objects}
   100899    0.719    0.000 1120.748    0.011 <string>:16(<lambda>)
  1019979    0.706    0.000    0.706    0.000 {built-in method math.log}
  1021998    0.628    0.000    0.628    0.000 lapack.py:619(<listcomp>)
  1022005    0.623    0.000    2.953    0.000 <frozen importlib._bootstrap>:997(_handle_fromlist)
  2040957    0.608    0.000    0.608    0.000 linalg.py:218(_isEmpty2d)
